first_pokemon;second_pokemon;winner
Magnezone;Slakoth;Magnezone
Woobat;Cubchoo;Woobat
Deoxys Speed Forme;Murkrow;Murkrow
Tangela;Wash Rotom;Wash Rotom
Cubchoo;Porygon-Z;Porygon-Z
Gurdurr;Mega Gardevoir;Mega Gardevoir
Squirtle;Wailord;Wailord
Floette;Kabutops;Kabutops
Gyarados;Wormadam Sandy Cloak;Gyarados
Piplup;Weavile;Weavile
Mega Gardevoir;Metapod;Mega Gardevoir
Torkoal;Mega Alakazam;Torkoal
Mewtwo;Accelgor;Accelgor
Hydreigon;Sunflora;Hydreigon
Zweilous;Vileplume;Zweilous
Skarmory;Gogoat;Skarmory
Roselia;Numel;Numel
Skrelp;  Farfetch'd  ;  Farfetch'd  
Roserade;Munna;Roserade
Rufflet;Mega Mewtwo X;Mega Mewtwo X
Tornadus Therian Forme;Starmie;Tornadus Therian Forme
Dratini;Aromatisse;Aromatisse
Goldeen;Sewaddle;Goldeen
Mega Lucario;Kadabra;Mega Lucario
Skiploom;Pignite;Skiploom
Tranquill;Mega Manectric;Mega Manectric
Absol;Bergmite;Absol
Fennekin;Magnemite;Fennekin
Zekrom;Ninjask;Zekrom
Darmanitan Zen Mode;Squirtle;Darmanitan Zen Mode
Zangoose;Grumpig;Zangoose
Jigglypuff;Snover;Snover
Tornadus Incarnate Forme;Wailord;Tornadus Incarnate Forme
Zebstrika;Snover;Zebstrika
Mega Aggron;Beartic;Beartic
Rotom;Skarmory;Rotom
Cleffa;Mega Charizard X;Mega Charizard X
Carbink;Registeel;Registeel
Numel;Crobat;Crobat
Cubone;Venomoth;Venomoth
Lampent;Corphish;Lampent
Klinklang;Porygon-Z;Porygon-Z
Dragalge;Registeel;Registeel
Volcanion;Granbull;Volcanion
Chesnaught;Haxorus;Haxorus
Smeargle;Hippopotas;Hippopotas
Serperior;Parasect;Parasect
Emboar;Exploud;Exploud
Heatmor;Dodrio;Dodrio
Zapdos;Mega Rayquaza;Mega Rayquaza
Typhlosion;Togepi;Typhlosion
Metapod;Victini;Victini
Venusaur;Totodile;Venusaur
Skarmory;Mega Blastoise;Mega Blastoise
Palkia;Gabite;Palkia
Articuno;Watchog;Articuno
Makuhita;Lileep;Makuhita
Inkay;Simipour;Simipour
Seel;Mr. Mime;Mr. Mime
Cleffa;Clefairy;Clefairy
Hydreigon;Glaceon;Hydreigon
Mega Gengar;Snivy;Mega Gengar
Nosepass;Woobat;Woobat
Oddish;Rayquaza;Rayquaza
Muk;Nosepass;Muk
Deoxys Defense Forme;Electrode;Electrode
Mega Charizard Y;Makuhita;Mega Charizard Y
Mime Jr.;Grimer;Grimer
Luxio;Mega Camerupt;Luxio
Ludicolo;Scyther;Scyther
Lickitung;Magnezone;Magnezone
Zebstrika;Delibird;Zebstrika
Azumarill;Marshtomp;Marshtomp
Groudon;Manectric;Manectric
Elekid;Scatterbug;Elekid
Hypno;Zygarde Half Forme;Zygarde Half Forme
Kingler;Lopunny;Lopunny
Foongus;Turtwig;Turtwig
Pangoro;Gothitelle;Gothitelle
Kakuna;Medicham;Medicham
Weavile;Slakoth;Weavile
Teddiursa;Loudred;Loudred
Grimer;Pumpkaboo Super Size;Pumpkaboo Super Size
Kingler;Chatot;Chatot
Sawsbuck;Ekans;Sawsbuck
Darmanitan Zen Mode;Shuppet;Darmanitan Zen Mode
Petilil;Seadra;Seadra
Arceus;Mienfoo;Arceus
Pupitar;Diggersby;Diggersby
Roselia;Froakie;Froakie
Chandelure;Skiddo;Chandelure
Bellsprout;Swablu;Swablu
Qwilfish;Pignite;Qwilfish
Gourgeist Average Size;Ivysaur;Gourgeist Average Size
Carracosta;Boldore;Carracosta
Kingler;Venonat;Kingler
Houndour;Cobalion;Cobalion
Ninjask;Hitmonlee;Ninjask
Rotom;Mightyena;Mightyena
Pansear;Feebas;Feebas
Amaura;Silcoon;Amaura
Druddigon;Slugma;Druddigon
Wooper;Poochyena;Poochyena
Sneasel;Gurdurr;Gurdurr
Axew;Omastar;Axew
Zapdos;Oddish;Zapdos
Marowak;Sudowoodo;Marowak
Mega Alakazam;Gothorita;Mega Alakazam
Swadloon;Beedrill;Beedrill
Golbat;Dragonite;Golbat
Silcoon;Nidoran♀;Nidoran♀
Zorua;Spearow;Spearow
Zygarde Half Forme;Seadra;Zygarde Half Forme
Blitzle;Arbok;Arbok
Tornadus Therian Forme;Trubbish;Tornadus Therian Forme
Togetic;Lunatone;Lunatone
Magmortar;Wobbuffet;Magmortar
Cofagrigus;Paras;Cofagrigus
Slurpuff;Budew;Slurpuff
Drapion;Electrike;Drapion
Mega Kangaskhan;Darumaka;Mega Kangaskhan
Marshtomp;Whiscash;Whiscash
Amaura;Meloetta Aria Forme;Meloetta Aria Forme
Cresselia;Latias;Latias
Carracosta;Bagon;Bagon
Crobat;Dewgong;Crobat
Hoothoot;Dialga;Dialga
Bronzong;Combusken;Combusken
Starly;Munna;Starly
Finneon;Lickitung;Finneon
Scatterbug;Meditite;Meditite
Weezing;Goldeen;Goldeen
Wormadam Plant Cloak;Cofagrigus;Wormadam Plant Cloak
Horsea;Buizel;Buizel
Chikorita;Phione;Phione
Fletchinder;Rufflet;Fletchinder
Excadrill;Bunnelby;Excadrill
Poliwrath;Baltoy;Poliwrath
Ninjask;Torkoal;Torkoal
Glameow;Purrloin;Glameow
Hoopa Confined;Magmar;Magmar
Kabutops;Luvdisc;Luvdisc
Elgyem;Silcoon;Elgyem
Delphox;Metagross;Delphox
Samurott;Wailmer;Samurott
Terrakion;Wingull;Terrakion
Mewtwo;Roserade;Mewtwo
Loudred;Zekrom;Zekrom
Heracross;Meowstic Male;Meowstic Male
Drowzee;Burmy;Drowzee
Mankey;Monferno;Monferno
Venomoth;Virizion;Virizion
Venusaur;Pumpkaboo Average Size;Venusaur
Mega Aggron;Gligar;Gligar
Mothim;DeoxysAttack Forme;DeoxysAttack Forme
Sharpedo;Croagunk;Sharpedo
Wormadam Trash Cloak;Drilbur;Drilbur
Pupitar;Golduck;Golduck
Sigilyph;Ninetales;Ninetales
Illumise;Cascoon;Illumise
Vulpix;Gligar;Gligar
Dodrio;Poochyena;Dodrio
Mega Medicham;Gigalith;Mega Medicham
Surskit;Mega Gyarados;Mega Gyarados
Mega Pinsir;Elgyem;Mega Pinsir
Porygon;Lombre;Lombre
Frogadier;Wynaut;Frogadier
Litleo;Klefki;Klefki
Dewott;Wooper;Dewott
Meowstic Female;Buizel;Meowstic Female
Alomomola;Diglett;Alomomola
Dewott;Hydreigon;Hydreigon
Croagunk;Minccino;Minccino
Mr. Mime;Numel;Mr. Mime
Roselia;Exploud;Exploud
Weavile;Anorith;Weavile
Drapion;Spewpa;Drapion
Swoobat;Hoppip;Swoobat
Gigalith;Luxio;Luxio
Vanillish;Mega Rayquaza;Mega Rayquaza
Zubat;Mega Sharpedo;Mega Sharpedo
Mightyena;Cyndaquil;Mightyena
Mega Gyarados;Garbodor;Mega Gyarados
Swadloon;Zekrom;Zekrom
Whiscash;Slakoth;Slakoth
Axew;Clauncher;Axew
Slowbro;Meowstic Female;Meowstic Female
Turtwig;Mesprit;Mesprit
Sawk;Gyarados;Sawk
Altaria;Boldore;Altaria
Mantine;Mega Camerupt;Mantine
Mega Medicham;Mime Jr.;Mega Medicham
Meowstic Male;Doublade;Doublade
Raticate;Deoxys Speed Forme;Deoxys Speed Forme
Dewgong;Swampert;Dewgong
Toxicroak;Pelipper;Toxicroak
Doublade;Slaking;Slaking
Lapras;Gallade;Gallade
Cobalion;Cascoon;Cobalion
Wormadam Trash Cloak;Quilladin;Quilladin
Celebi;Combee;Celebi
Cloyster;Starmie;Starmie
Klinklang;Minccino;Klinklang
Whiscash;Chingling;Whiscash
Lunatone;Nincada;Lunatone
Bronzong;Vespiquen;Vespiquen
Serperior;Probopass;Serperior
Genesect;Barboach;Genesect
Darmanitan Zen Mode;Wingull;Wingull
Voltorb;Zygarde Half Forme;Voltorb
Remoraid;Klink;Remoraid
Exeggcute;Deoxys Speed Forme;Deoxys Speed Forme
Fan Rotom;Foongus;Fan Rotom
Rapidash;Ledyba;Rapidash
Phione;Nidoran♀;Phione
Hoopa Confined;Ludicolo;Ludicolo
Mr. Mime;Delphox;Delphox
Mightyena;Timburr;Mightyena
Lickitung;Scraggy;Scraggy
Sentret;Floette;Floette
Meloetta Aria Forme;Oddish;Meloetta Aria Forme
Plusle;Mega Mawile;Plusle
Heat Rotom;Slakoth;Heat Rotom
Garchomp;Mienshao;Mienshao
Conkeldurr;Baltoy;Baltoy
Swadloon;Stunky;Stunky
Lairon;Espurr;Espurr
Inkay;Excadrill;Excadrill
Archen;Dragonair;Dragonair
Heliolisk;Tepig;Heliolisk
Jirachi;Misdreavus;Jirachi
Typhlosion;Watchog;Typhlosion
Exeggutor;Elgyem;Exeggutor
Pinsir;Typhlosion;Typhlosion
Phantump;Elekid;Elekid
Shiftry;Volbeat;Volbeat
Scrafty;Staravia;Staravia
Kyurem White Kyurem;Nidoking;Kyurem White Kyurem
Skiddo;Timburr;Skiddo
Weavile;Fletchinder;Weavile
Horsea;Mega Metagross;Mega Metagross
Swadloon;Duskull;Swadloon
Mega Blastoise;Drapion;Drapion
Mega Slowbro;Snorlax;Snorlax
Mega Garchomp;Qwilfish;Mega Garchomp
Furret;Stoutland;Furret
Tympole;Mega Lopunny;Mega Lopunny
Trapinch;Emolga;Trapinch
Weedle;Arcanine;Arcanine
Hitmonlee;Snivy;Hitmonlee
Frillish;Spewpa;Spewpa
Mamoswine;Palpitoad;Mamoswine
Volcarona;Woobat;Volcarona
Scrafty;Amaura;Scrafty
Spiritomb;Pinsir;Pinsir
Pancham;Magnezone;Magnezone
Cacnea;Carbink;Carbink
Larvitar;Pumpkaboo Super Size;Pumpkaboo Super Size
Skitty;Haxorus;Haxorus
Smeargle;Darmanitan Zen Mode;Smeargle
Mega Tyranitar;Deerling;Deerling
Haxorus;Leavanny;Haxorus
Furfrou;Swampert;Furfrou
Spiritomb;Beautifly;Beautifly
Landorus Therian Forme;Togepi;Landorus Therian Forme
Wailord;Honedge;Honedge
Venomoth;Blissey;Venomoth
Azelf;Kirlia;Azelf
Charmeleon;Pinsir;Pinsir
Shellder;Mega Camerupt;Shellder
Hitmontop;Shinx;Hitmontop
Zweilous;Plusle;Plusle
Doduo;Diancie;Doduo
Tropius;Typhlosion;Typhlosion
Zigzagoon;Treecko;Treecko
Mega Gyarados;Lickitung;Mega Gyarados
Clefairy;Scrafty;Scrafty
Gurdurr;Slugma;Gurdurr
Scrafty;Hippowdon;Scrafty
Meloetta Aria Forme;Onix;Meloetta Aria Forme
Deoxys Normal Forme;Sylveon;Deoxys Normal Forme
Deoxys Speed Forme;Venusaur;Deoxys Speed Forme
Quilava;Horsea;Quilava
Beldum;Wailord;Wailord
Dratini;Ferrothorn;Dratini
Mewtwo;Finneon;Mewtwo
Joltik;Mienshao;Mienshao
Excadrill;Gligar;Excadrill
Exploud;Fletchling;Exploud
Wormadam Sandy Cloak;Milotic;Milotic
Mega Scizor;Happiny;Mega Scizor
Tentacool;Simipour;Simipour
Ninetales;Spearow;Ninetales
Mega Altaria;Azurill;Mega Altaria
Empoleon;Cubone;Empoleon
Hippowdon;Wurmple;Hippowdon
Meloetta Pirouette Forme;Kyurem White Kyurem;Meloetta Pirouette Forme
Mareep;Lunatone;Lunatone
Pignite;Foongus;Pignite
Heliolisk;Aerodactyl;Aerodactyl
Aegislash Blade Forme;Misdreavus;Misdreavus
Furret;Roserade;Roserade
Accelgor;Aggron;Aggron
Heracross;Pidgeot;Pidgeot
Primal Kyogre;Zygarde Half Forme;Zygarde Half Forme
Mega Latios;Bayleef;Mega Latios
Vileplume;Tornadus Incarnate Forme;Tornadus Incarnate Forme
Swadloon;Heatran;Heatran
Phanpy;Mega Slowbro;Phanpy
Pansage;Kyurem;Kyurem
Primal Kyogre;Tentacool;Primal Kyogre
Shaymin Sky Forme;Heatmor;Shaymin Sky Forme
Fletchinder;Dusknoir;Fletchinder
Rattata;Azumarill;Rattata
Ferrothorn;Hippopotas;Hippopotas
Tyranitar;Dragonite;Dragonite
Emolga;Mega Alakazam;Mega Alakazam
Sableye;  Scolipede  ;  Scolipede  
Kingdra;Terrakion;Terrakion
Gabite;Miltank;Miltank
Haxorus;Vigoroth;Haxorus
Slowpoke;Liepard;Liepard
Froakie;Carracosta;Carracosta
Combee;Nidorino;Combee
Gengar;Milotic;Gengar
Blitzle;Porygon2;Blitzle
Sylveon;Houndoom;Houndoom
Porygon;Whismur;Porygon
Starmie;Gorebyss;Starmie
Corsola;Palpitoad;Palpitoad
Zangoose;Mega Gallade;Mega Gallade
Rufflet;Bellsprout;Rufflet
Poochyena;Slurpuff;Slurpuff
Illumise;Eelektross;Illumise
Hoopa Unbound;Weezing;Hoopa Unbound
Tropius;Heliolisk;Heliolisk
Eelektrik;Haxorus;Haxorus
Weedle;Gible;Weedle
Litwick;Fletchling;Fletchling
Kabutops;Yamask;Kabutops
Mega Tyranitar;Shellos;Mega Tyranitar
Mega Banette;Mega Aggron;Mega Banette
Mow Rotom;Mega Sableye;Mow Rotom
Swadloon;Wash Rotom;Wash Rotom
Absol;Clefairy;Absol
Victini;Karrablast;Victini
Salamence;Doublade;Salamence
Teddiursa;Amaura;Amaura
Muk;Roserade;Muk
Pidove;Golbat;Golbat
Skitty;Mega Camerupt;Mega Camerupt
Nidoking;Hitmonlee;Hitmonlee
Hoopa Unbound;Weezing;Hoopa Unbound
Zigzagoon;Mega Altaria;Mega Altaria
Shuppet;Charmander;Charmander
Ambipom;Bagon;Ambipom
Exeggcute;Latios;Latios
Darkrai;Luxray;Darkrai
Gallade;Seaking;Gallade
Electrike;Clawitzer;Electrike
Salamence;Zebstrika;Zebstrika
Bibarel;Chespin;Bibarel
Illumise;Mega Lucario;Mega Lucario
Kirlia;Mega Metagross;Mega Metagross
Tyranitar;Simisear;Simisear
Shinx;Togepi;Shinx
Breloom;Yamask;Breloom
Volcarona;Machop;Volcarona
Diglett;Sudowoodo;Sudowoodo
Drilbur;Kyogre;Kyogre
Gourgeist Average Size;Tepig;Gourgeist Average Size
Sawsbuck;Giratina Origin Forme;Giratina Origin Forme
Nidoran♀;Sunkern;Nidoran♀
Gyarados;Haxorus;Haxorus
Phantump;Hoothoot;Hoothoot
Mega Salamence;Zangoose;Mega Salamence
Weepinbell;Ralts;Weepinbell
Slowpoke;Joltik;Slowpoke
Girafarig;Escavalier;Escavalier
Croagunk;Swanna;Swanna
Spoink;Dusknoir;Spoink
Rattata;Darmanitan Standard Mode;Darmanitan Standard Mode
Solosis;Mime Jr.;Mime Jr.
Lugia;Staravia;Lugia
Slowpoke;Marowak;Marowak
Scyther;Sawsbuck;Scyther
Feraligatr;Phione;Phione
Sawk;Moltres;Moltres
Gothitelle;Pumpkaboo Large Size;Gothitelle
Chikorita;Mega Diancie;Mega Diancie
Pignite;Ekans;Ekans
Lampent;Cobalion;Cobalion
Kakuna;Wurmple;Kakuna
Mega Mewtwo X;Audino;Mega Mewtwo X
Mega Audino;Solosis;Mega Audino
Solrock;Chansey;Solrock
  Scolipede  ;Metapod;  Scolipede  
Marill;Dialga;Marill
Hippopotas;Cinccino;Cinccino
Kricketune;Cresselia;Cresselia
Pichu;Honedge;Honedge
Braixen;Bellossom;Braixen
Croagunk;Lumineon;Lumineon
Abomasnow;Wormadam Plant Cloak;Abomasnow
Pelipper;Heracross;Heracross
Vileplume;Empoleon;Empoleon
Deoxys Defense Forme;Pansage;Deoxys Defense Forme
Aerodactyl;Hoopa Unbound;Aerodactyl
Ducklett;Nosepass;Ducklett
Gurdurr;Sewaddle;Sewaddle
Gallade;Delibird;Gallade
Wartortle;Gothita;Wartortle
Mega Kangaskhan;Yamask;Yamask
Mothim;Chimchar;Mothim
Serperior;Eelektrik;Serperior
Rufflet;Dodrio;Dodrio
Ampharos;Exeggutor;Exeggutor
Growlithe;Arbok;Arbok
Aromatisse;Regirock;Regirock
Machop;Psyduck;Psyduck
Mega Mawile;Vanilluxe;Vanilluxe
Mr. Mime;Illumise;Mr. Mime
Budew;Ledian;Ledian
Golbat;Rattata;Golbat
Heatmor;Kangaskhan;Kangaskhan
Mega Charizard Y;Leavanny;Mega Charizard Y
Inkay;Dragonite;Dragonite
Linoone;Genesect;Linoone
Mantine;Masquerain;Mantine
Aggron;Xatu;Aggron
Chandelure;Kyurem Black Kyurem;Kyurem Black Kyurem
Timburr;Arceus;Arceus
Caterpie;Arbok;Arbok
Scizor;Sableye;Scizor
Mudkip;Vaporeon;Vaporeon
Thundurus Therian Forme;Togetic;Thundurus Therian Forme
Fletchling;Quilava;Quilava
Victini;Phione;Victini
Mega Latios;Leafeon;Mega Latios
Florges;Zekrom;Florges
Gastly;Omastar;Gastly
Sylveon;Pancham;Sylveon
Lillipup;Bagon;Lillipup
Magcargo;Roggenrola;Magcargo
Staraptor;Skuntank;Staraptor
Marshtomp;Seaking;Seaking
Vivillon;Aerodactyl;Aerodactyl
Squirtle;Qwilfish;Qwilfish
Poliwrath;Mienfoo;Poliwrath
Furret;Deoxys Speed Forme;Deoxys Speed Forme
Kadabra;Scyther;Scyther
Sliggoo;Mightyena;Mightyena
Elekid;Frillish;Frillish
Hippopotas;Keldeo Ordinary Forme;Keldeo Ordinary Forme
Politoed;Golduck;Golduck
Mow Rotom;Jirachi;Jirachi
Sealeo;Aegislash Blade Forme;Aegislash Blade Forme
Tranquill;Monferno;Monferno
Jynx;Vulpix;Jynx
Primal Kyogre;Mewtwo;Mewtwo
Quilava;Pidove;Quilava
Shaymin Land Forme;Garbodor;Shaymin Land Forme
Torchic;Aerodactyl;Aerodactyl
Tranquill;Sigilyph;Sigilyph
Moltres;Dratini;Moltres
Buneary;Regice;Buneary
Pancham;Minun;Minun
Hawlucha;Glaceon;Hawlucha
Floette;Avalugg;Avalugg
Mega Mawile;Sableye;Sableye
Kadabra;Galvantula;Galvantula
Venomoth;Sealeo;Venomoth
Stunky;Genesect;Genesect
Mega Salamence;Hoppip;Mega Salamence
Spritzee;Phione;Phione
Bayleef;Chesnaught;Chesnaught
Latios;Bellossom;Latios
Misdreavus;Piplup;Misdreavus
Happiny;Mega Altaria;Mega Altaria
Slowpoke;Sawk;Sawk
Jigglypuff;Stunky;Jigglypuff
Drilbur;Nidoran♂;Drilbur
Crawdaunt;Darmanitan Standard Mode;Darmanitan Standard Mode
Ledyba;Jolteon;Jolteon
Ducklett;Gulpin;Ducklett
Castform;Rattata;Rattata
Ninetales;Duosion;Ninetales
Murkrow;Fearow;Fearow
Cacturne;Archen;Archen
Larvesta;Hoppip;Larvesta
Nidorina;Mega Alakazam;Mega Alakazam
Forretress;Alomomola;Alomomola
Archeops;Snover;Archeops
Steelix;Marill;Marill
Riolu;Gourgeist Large Size;Gourgeist Large Size
Ekans;Galvantula;Galvantula
Mega Garchomp;Latias;Latias
Galvantula;Tyrunt;Galvantula
Remoraid;Luxio;Remoraid
Mega Altaria;Weedle;Mega Altaria
Chikorita;Blaziken;Blaziken
Klink;Cinccino;Cinccino
Hoopa Unbound;Mega Blaziken;Mega Blaziken
Wurmple;Lumineon;Lumineon
Celebi;Riolu;Celebi
Magcargo;Anorith;Anorith
Burmy;Milotic;Milotic
Kabuto;Totodile;Kabuto
Exeggutor;Bisharp;Bisharp
Mesprit;Gurdurr;Mesprit
Gigalith;Shelgon;Shelgon
Raticate;Flabébé;Raticate
Froslass;Beartic;Beartic
Aggron;Torterra;Torterra
Pumpkaboo Large Size;Glaceon;Glaceon
Tentacool;Mega Scizor;Mega Scizor
Natu;Kabuto;Natu
Forretress;Dragalge;Dragalge
Mime Jr.;Yveltal;Yveltal
Regirock;Masquerain;Masquerain
Swalot;Swoobat;Swoobat
Kyurem White Kyurem;Larvesta;Kyurem White Kyurem
Relicanth;Kingler;Kingler
Swoobat;Anorith;Swoobat
Pachirisu;Magikarp;Pachirisu
Corphish;Yveltal;Yveltal
Doublade;Gorebyss;Gorebyss
Dragonite;Gastly;Gastly
Mothim;Mareep;Mothim
Mega Gardevoir;Latias;Latias
Surskit;Mewtwo;Mewtwo
Steelix;Skitty;Skitty
Chesnaught;Cyndaquil;Cyndaquil
Kangaskhan;Mega Alakazam;Mega Alakazam
Fan Rotom;Bidoof;Fan Rotom
Fraxure;Noivern;Noivern
Minun;Simisage;Simisage
Treecko;Pangoro;Treecko
Elgyem;Boldore;Elgyem
Tynamo;Mawile;Tynamo
Feraligatr;Inkay;Feraligatr
Yveltal;Mawile;Yveltal
Gothitelle;Pansage;Gothitelle
Rhyhorn;Lilligant;Lilligant
Drifblim;Combusken;Drifblim
Gulpin;Magmar;Magmar
Tepig;Flaaffy;Flaaffy
Barboach;Masquerain;Masquerain
Combee;Cinccino;Cinccino
Shellder;Giratina Altered Forme;Giratina Altered Forme
Beheeyem;Ralts;Ralts
Wynaut;Escavalier;Wynaut
Cryogonal;Mega Manectric;Mega Manectric
Tangela;Pineco;Pineco
Quilava;Wynaut;Quilava
Wormadam Trash Cloak;Yveltal;Yveltal
Pumpkaboo Large Size;Shuppet;Pumpkaboo Large Size
Nosepass;Gardevoir;Gardevoir
Watchog;Musharna;Watchog
Venusaur;Boldore;Venusaur
Zorua;Greninja;Greninja
Audino;Lileep;Audino
  Scolipede  ;Mega Abomasnow;  Scolipede  
Tranquill;Roserade;Roserade
Mamoswine;Jigglypuff;Mamoswine
Spheal;Reuniclus;Reuniclus
Metagross;Wobbuffet;Metagross
Herdier;Banette;Banette
Spinarak;Nidorino;Nidorino
Tyrogue;Flygon;Flygon
Beheeyem;Hitmonchan;Hitmonchan
Suicune;Phantump;Suicune
Whiscash;Bastiodon;Whiscash
Skiddo;Moltres;Moltres
Lugia;Amoonguss;Lugia
Bayleef;Mismagius;Mismagius
Pumpkaboo Large Size;Girafarig;Girafarig
Wormadam Sandy Cloak;Ekans;Ekans
Mega Mewtwo Y;Whimsicott;Mega Mewtwo Y
Carracosta;Prinplup;Prinplup
Plusle;  Grotle  ;  Grotle  
Teddiursa;Exeggutor;Exeggutor
Zapdos;Meowstic Female;Meowstic Female
Shellder;Gothorita;Gothorita
Electivire;Flareon;Electivire
Kirlia;Combusken;Combusken
Mamoswine;Mega Ampharos;Mamoswine
Rhyperior;Skitty;Skitty
Drifloon;Shiftry;Shiftry
Shellos;Vigoroth;Vigoroth
Jigglypuff;Dragalge;Jigglypuff
Seel;Vibrava;Vibrava
Mega Manectric;Tympole;Mega Manectric
Qwilfish;Chatot;Chatot
Whiscash;Magikarp;Whiscash
Drifloon;Manaphy;Manaphy
Kricketune;Nincada;Kricketune
Ambipom;Mantyke;Ambipom
Klefki;Whismur;Klefki
Feebas;Kricketune;Kricketune
Skrelp;Corphish;Corphish
Binacle;Donphan;Donphan
Tympole;Kyogre;Kyogre
Herdier;Pignite;Herdier
Litwick;Articuno;Articuno
Gible;Woobat;Woobat
Manaphy;Weepinbell;Manaphy
Mega Venusaur;Machamp;Mega Venusaur
Kakuna;Mega Gallade;Mega Gallade
Lumineon;Linoone;Linoone
Delphox;Lileep;Delphox
Makuhita;Cottonee;Makuhita
Mega Aggron;Mega Charizard Y;Mega Charizard Y
Delphox;Scrafty;Delphox
Mega Abomasnow;Noibat;Mega Abomasnow
Butterfree;Tauros;Tauros
Hoppip;Swanna;Swanna
Klinklang;Emboar;Klinklang
Miltank;Stoutland;Miltank
Beartic;Goldeen;Goldeen
Spinarak;Gourgeist Average Size;Gourgeist Average Size
Samurott;Groudon;Groudon
Purrloin;Hitmonlee;Hitmonlee
Bastiodon;Banette;Banette
Leavanny;Electrode;Electrode
Scatterbug;Aegislash Blade Forme;Aegislash Blade Forme
Ledian;Foongus;Ledian
Cofagrigus;Boldore;Cofagrigus
Mega Gardevoir;Drifloon;Mega Gardevoir
Mewtwo;Regirock;Mewtwo
Weedle;Hippowdon;Weedle
Shuckle;Venipede;Venipede
Metang;Mega Lopunny;Mega Lopunny
Volcarona;Aipom;Volcarona
Cloyster;Durant;Durant
Hitmonlee;Dodrio;Dodrio
Manaphy;Dragonite;Manaphy
Milotic;Golbat;Golbat
Delibird;Magikarp;Magikarp
Pupitar;Ludicolo;Ludicolo
Metapod;Jumpluff;Jumpluff
Dialga;Corsola;Dialga
Froslass;Frogadier;Frogadier
Mega Steelix;Latias;Mega Steelix
Lombre;Swanna;Swanna
Prinplup;Kingdra;Kingdra
Mienshao;Petilil;Mienshao
Heatran;Ledian;Ledian
Kricketot;Kyurem White Kyurem;Kyurem White Kyurem
Miltank;Munna;Miltank
Dusknoir;Jynx;Jynx
Solosis;Nidoran♀;Nidoran♀
Torkoal;Venipede;Torkoal
Stunfisk;Linoone;Linoone
Ledian;Keldeo Resolute Forme;Keldeo Resolute Forme
Scrafty;Pupitar;Scrafty
Ludicolo;Meganium;Meganium
Ivysaur;Togepi;Ivysaur
Deoxys Speed Forme;Mega Diancie;Deoxys Speed Forme
Roggenrola;Shedinja;Shedinja
Milotic;Krabby;Milotic
Arbok;Mega Pinsir;Mega Pinsir
Vileplume;Mienfoo;Mienfoo
Makuhita;Sandile;Sandile
Snorlax;Rayquaza;Rayquaza
Mega Manectric;Leavanny;Mega Manectric
Landorus Incarnate Forme;Ludicolo;Landorus Incarnate Forme
Wynaut;Chimecho;Chimecho
Skorupi;Starmie;Starmie
Hippopotas;Heatran;Heatran
Tepig;Deoxys Defense Forme;Deoxys Defense Forme
Relicanth;Eelektrik;Relicanth
Boldore;Electrode;Boldore
Nidorino;Marshtomp;Nidorino
Nincada;Wormadam Sandy Cloak;Nincada
Whiscash;Mewtwo;Mewtwo
Pumpkaboo Super Size;Ivysaur;Ivysaur
Malamar;Sliggoo;Malamar
Boldore;Lotad;Lotad
Krabby;Machamp;Machamp
Slakoth;Clefable;Clefable
Palkia;Spearow;Palkia
Mega Blastoise;Meloetta Aria Forme;Meloetta Aria Forme
Chingling;Illumise;Illumise
Beautifly;Houndour;Houndour
Sentret;Victini;Victini
Totodile;Loudred;Loudred
Swoobat;Koffing;Swoobat
Jigglypuff;Gliscor;Gliscor
Delcatty;Throh;Delcatty
Mega Gengar;Diglett;Mega Gengar
Darumaka;Latios;Latios
Weedle;Bronzor;Weedle
Pidove;Claydol;Claydol
Arceus;Zapdos;Arceus
Golett;Pumpkaboo Average Size;Pumpkaboo Average Size
Bulbasaur;Barboach;Barboach
Ralts;Seadra;Seadra
Flareon;Blissey;Flareon
Eelektross;Poliwrath;Poliwrath
Hitmonchan;Talonflame;Talonflame
Umbreon;Nidorina;Umbreon
Kabuto;Beldum;Kabuto
Conkeldurr;Deoxys Defense Forme;Deoxys Defense Forme
Mega Mewtwo X;Wynaut;Mega Mewtwo X
Mega Latios;Loudred;Mega Latios
Slowking;Luvdisc;Slowking
Stoutland;Axew;Stoutland
Delibird;Accelgor;Accelgor
Mega Pinsir;Tentacool;Mega Pinsir
Ninjask;DeoxysAttack Forme;Ninjask
Mewtwo;Shieldon;Mewtwo
Mega Sableye;Arbok;Arbok
Wailmer;Skiploom;Skiploom
Swablu;Budew;Budew
Dewott;Swalot;Dewott
  Scolipede  ;Kyurem;  Scolipede  
Charmander;Primal Kyogre;Primal Kyogre
Doublade;Yamask;Yamask
Mega Sableye;Landorus Incarnate Forme;Landorus Incarnate Forme
Tentacool;Inkay;Tentacool
Prinplup;Magnezone;Magnezone
Steelix;Dewott;Dewott
Palpitoad;Mega Lopunny;Mega Lopunny
Crobat;Mega Charizard Y;Crobat
Mime Jr.;Timburr;Mime Jr.
Mow Rotom;Dewgong;Mow Rotom
63;Pineco;63
Virizion;Dewgong;Virizion
Archen;Sunflora;Archen
Mega Lucario;Meloetta Aria Forme;Mega Lucario
Medicham;Kadabra;Kadabra
Growlithe;Mega Charizard X;Mega Charizard X
Buneary;Clawitzer;Buneary
